Username,FollowerCount,FollowingCount,ContainsKeywords,AverageTweetTime,HashtagUsage,PercentDifference,,Bot
Crypto3OT,18548,1,TRUE,0,0,-99.99460858,,FALSE
stocktalkweekly,246934,854,TRUE,-8646,0,-99.6541586,,FALSE
rampman301758,31,43,FALSE,-271881,0,38.70967742,,TRUE
NoraFranco16299,86,1285,TRUE,-379750,0,1394.186047,,TRUE
AnimaApp,8116,262,FALSE,-426,0,-96.77180877,,FALSE
StockfinanceI,3,14,FALSE,0,0,366.6666667,,TRUE
SenneH1990,1376,512,FALSE,-561.1020408,0,-62.79069767,,FALSE
CryptoAI,779,6,FALSE,0,0,-99.22978177,,TRUE
Botaccount4sure,251,444,TRUE,-5099.040816,0,76.89243028,,TRUE
botcrypto_io,644,17,FALSE,0,0,-97.36024845,,TRUE
kbadzz_stocks,1114,1484,TRUE,-24326.58333,0,33.21364452,,FALSE
RealFamilyCrete,47549,30820,FALSE,-998.1428571,1,-35.18265368,,FALSE
CryptoAdventure,87470,3691,TRUE,-19817.28571,83,-95.78026752,,FALSE
tinystockbot,131,356,FALSE,0,0,171.7557252,,TRUE
BotFintwit,186,13,TRUE,-231006.5,0,-93.01075269,,TRUE
Gideoomatic,19487,431,FALSE,-155.7755102,0,-97.7882691,,FALSE
BioStocks,65075,84,FALSE,-10244.40816,1,-99.87091817,,FALSE
stockcrypto99,4,21,FALSE,0,0,425,,TRUE
hazeestainss,461,229,FALSE,0,0,-50.32537961,,FALSE
_nxlvn,979,888,FALSE,-20295.8,0,-9.295199183,,FALSE
finplan,80000,1422,TRUE,-7236.877551,132,-98.2225,,FALSE
Jessamine852185,23,845,FALSE,0,0,3573.913043,,TRUE
Azharab61614728,132,707,FALSE,0,0,435.6060606,,TRUE
cryptomanran,786790,4011,TRUE,-12016.02174,0,-99.49020704,,FALSE
DiegoSalas018,387,294,FALSE,0,0,-24.03100775,,FALSE
MaestroBots,40549,4,FALSE,-99425.6,19,-99.99013539,,TRUE
dev_addo,388,18,FALSE,0,0,-95.36082474,,FALSE
snipe_erc20,137,174,TRUE,-510,0,27.00729927,,TRUE
PearlsteShirl,10,1417,FALSE,0,0,14070,,TRUE
Thecrowtrade,3496,2257,FALSE,0,0,-35.44050343,,FALSE
SweetXWH3,116,850,FALSE,-17460.1,41,632.7586207,,TRUE
sthajivan11,30,204,TRUE,-38634.6,6,580,,FALSE
cooolrims,72487,29891,FALSE,-1173.061224,0,-58.76364038,,TRUE
Bitcoincold33,128,1028,FALSE,0,0,703.125,,TRUE
